Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,ObjectId,x,y
3479747,2026-05-29T04:00:00Z,Ohio,Toledo,Cherry St and Ferris Ave,0,1,0,0,0,N/A,1,-83.551002965619,41.6794849800168
3299021,2025-08-31T04:00:00Z,Ohio,Toledo,N/A,0,1,0,0,1,N/A,2,-83.5357170000808,41.6552979996861
3476941,2026-05-27T04:00:00Z,Ohio,Toledo,3700 block of Barcelona Dr,1,0,1,0,0,N/A,3,-83.6476137408154,41.6865870957053
3475821,2026-05-24T04:00:00Z,Ohio,Toledo,600 block of Cherry St,0,1,0,0,1,N/A,4,-83.5325594793493,41.657868657314
3470336,2026-05-17T04:00:00Z,Ohio,Toledo,3431 Coral Ave,0,0,0,1,1,N/A,5,-83.6276839694502,41.7188049907737
3468830,2026-05-15T04:00:00Z,Ohio,Toledo,3125 Shawnee Rd,0,1,0,0,1,N/A,6,-83.6200612144955,41.7149910150115
3296366,2025-08-28T04:00:00Z,Ohio,Toledo,1300 block of Foster Ave,0,1,0,0,0,N/A,7,-83.5766312844307,41.6581896494955
3467718,2026-05-13T04:00:00Z,Ohio,Toledo,3425 Nebraska Ave,0,1,0,0,0,N/A,8,-83.6246790563158,41.644993029698
3293537,2025-08-24T04:00:00Z,Ohio,Toledo,700 block of Walnut St,0,1,0,0,0,N/A,9,-83.5318846837725,41.6593204944275
3467123,2026-05-12T04:00:00Z,Ohio,Toledo,1532 Nebraska Ave,0,1,0,0,1,N/A,10,-83.580878835301,41.6456609831776
3293527,2025-08-23T04:00:00Z,Ohio,Toledo,600 block of Easterly Ct,0,1,0,0,0,N/A,11,-83.5206682769141,41.6304784789175
3291763,2025-08-21T04:00:00Z,Ohio,Toledo,5000 block of Kellogg Rd,0,1,0,0,0,N/A,12,-83.6610016074808,41.6476795248577
3465632,2026-05-10T04:00:00Z,Ohio,Toledo,2125 Parkwood Ave,0,1,0,0,1,N/A,13,-83.5575669185692,41.6634901291545
3291339,2025-08-20T04:00:00Z,Ohio,Toledo,1646 W Alexis Rd,0,1,0,0,0,N/A,14,-83.584936011603,41.7218319895071
3464018,2026-05-06T04:00:00Z,Ohio,Toledo,E Pearl St,0,1,0,0,0,N/A,15,-83.5364170086727,41.6841501993583
3289120,2025-08-17T04:00:00Z,Ohio,Toledo,Elm St and Moss St,1,0,0,0,0,N/A,16,-83.5361020377745,41.6741939877591
3287563,2025-08-15T04:00:00Z,Ohio,Toledo,800 block of Colburn St,0,0,1,0,0,N/A,17,-83.5605032453316,41.6298067059864
3458428,2026-04-28T04:00:00Z,Ohio,Toledo,100 block of Bronson Ave,1,0,0,0,0,N/A,18,-83.5415712300575,41.6776158937066
3289127,2025-08-15T04:00:00Z,Ohio,Toledo,N/A,0,1,0,0,0,N/A,19,-83.5357170000808,41.6552979996861
3458426,2026-04-27T04:00:00Z,Ohio,Toledo,2000 block of Hogarth Rd,1,0,0,0,0,N/A,20,-83.655510981395,41.6599076183023
3285686,2025-08-11T04:00:00Z,Ohio,Toledo,500 block of E Manhattan Blvd,0,1,0,0,0,N/A,21,-83.532465610792,41.6864753926564
3282733,2025-08-09T04:00:00Z,Ohio,Toledo,632 E Central Ave,1,1,0,0,0,N/A,22,-83.5299682448948,41.6787685370731
3456173,2026-04-24T04:00:00Z,Ohio,Toledo,900 block of Delaware Ave,0,1,0,0,0,N/A,23,-83.5669677287287,41.6709347686109
